name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
Best Western The Inn At Rochester Airport,Rochester,NY,43.1317,-77.6669,"Hotel,Hotels Motels,Lodging,Corporate Housing",Accommodation & Food Services,6,3.0
Blue Haven Motor Court,Saco,ME,43.55478,-70.4019,"Hotels,Lodging,Hotels and motels,Motels,Hotel",Accommodation & Food Services,1,4.0
Best Western Fort Lauderdale Airport/Cruise Port,Fort Lauderdale,FL,26.09218,-80.15757,"Hotel,Lodging,Hotels,Hotels Motels",Accommodation & Food Services,19,3.789473684210526
Red Roof Plus+ Wilmington - Newark,Newark,DE,39.690807,-75.655461,"Hotel,Hotels and motels,Motel,Hotels Motels,Family-friendly Hotels,Business Hotels,Budget Hotels,Hotels",Accommodation & Food Services,5,2.2
Best Western Plus Eau Claire Conference Center,Eau Claire,WI,44.78551,-91.5288,"Hotels,Lodging,Banquet Halls and Reception Facilities,Hotels Motels,Hotel",Accommodation & Food Services,4,4.0
Hampton Inn Indianola,Indianola,MS,33.457153,-90.665085,"Lodging,Corporate Lodging,Hotels,Hotel",Accommodation & Food Services,1,5.0
"My Place Hotel-Billings, MT",Billings,MT,45.75419,-108.53346,"Hotels,Lodging,Motels,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Fairfield Inn Great Falls,Great Falls,MT,47.49504,-111.28957,"Hotels,Lodging,Corporate Lodging,Hotel",Accommodation & Food Services,4,4.25
Wilderness Lodge,Lesterville,MO,37.482002,-90.842545,"Hotels,Lodging,Resorts,Restaurants,Hotel",Accommodation & Food Services,3,5.0
Red Cedar Lodge,Bonne Terre,MO,37.90469,-90.51503,"Hotels,Motels,Lodging,Hotels and motels,Hotel",Accommodation & Food Services,2,1.0
Extended Stay America Destin - US 98 - Emerald Coast Pkwy.,Destin,FL,30.38722,-86.40029,"Hotels,Lodging,Corporate Lodging,Hotels-Apartment,Motels,Hotels & Motels,Hotel",Accommodation & Food Services,2,4.5
Hampton Inn Lacrosse/Onalaska,Onalaska,WI,43.87766,-91.18924,"Hotels,Lodging,Corporate Lodging,Hotel",Accommodation & Food Services,3,4.333333333333333
Hampton Inn Orange City,Orange City,IA,42.99747,-96.04583,"Hotels,Lodging,Corporate Lodging,Hotel",Accommodation & Food Services,1,5.0
Americas Best Value Inn Suburban Motel,Emmetsburg,IA,43.12224,-94.69949,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,1,4.0
New Victorian Inn Suites Sioux City,Sioux City,IA,42.43638,-96.36794,"Corporate Lodging,Hotels,Lodging,Hotel",Accommodation & Food Services,2,4.5
Courtyard Indianapolis Castleton,Indianapolis,IN,39.9297,-86.0624,"Hotel,Hotels Motels",Accommodation & Food Services,1,4.0
Hampton Inn & Suites Grand Rapids Downtown,Grand Rapids,MI,42.971134,-85.655365,"Hotels and motels,Hotel,Hotels,Corporate Lodging,Lodging",Accommodation & Food Services,1,5.0
SpringHill Suites Naples,Naples,FL,26.161492,-81.684787,"Hotel,Resort,Hotels & Motels",Accommodation & Food Services,6,4.666666666666667
Cedar Falls Motel,Morrilton,AR,35.13015,-92.89413,"Motels,Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,1,4.0
Hampton Inn Suites Springdale,Springdale,AR,36.17125,-94.18552,"Hotels,Lodging,Corporate Lodging,Hotel",Accommodation & Food Services,1,5.0
Best Western Of Hope,Hope,AR,33.68434,-93.61175,"Hotels,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Park Place Inn,Jonesboro,AR,35.82745,-90.67876,"Lodging,Hotels Motels,Hotels,Hotel",Accommodation & Food Services,1,1.0
Ramada Limited - Port Allen,Port Allen,LA,30.44533,-91.24407,"Hotels,Hotel",Accommodation & Food Services,1,3.0
Days Inn Kokopelli Sedona,Sedona,AZ,34.78167,-111.76244,"Lodging,Hotels,Motels,Hotels Motels,Bed Breakfasts,Hotels & Motels,Hotel",Accommodation & Food Services,4,3.5
Scotty's Motel,Munising,MI,46.40707,-86.6519,"Motels,Hotels,Lodging,Hotels and motels,Hotels Motels,Hotel",Accommodation & Food Services,2,3.0
Fairfield Inn and Suites Ashland,Ashland,KY,38.397175,-82.71136,"Hotel,Hotels And Motels",Accommodation & Food Services,4,4.5
Hilton Garden Inn Fayetteville,Fayetteville,AR,36.08009,-94.20217,"Lodging,Hotels,Hotels Motels,Hotels and motels,Hotel",Accommodation & Food Services,4,5.0
Fairfield Inn and Suites North Platte,North Platte,NE,41.113922,-100.76719,"Hotel,Corporate Lodging,Hotels,Lodging",Accommodation & Food Services,1,3.0
